autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
In The Mix,The RIGHT way to use Compression - Detailed Mixing Tutorial,https://www.youtube.com/watch?v=yi0J9JsRdI4,Mixing & EQ Techniques (Mixing & EQ Techniques),2092798,2020-08-10,25:02,1502,49.68,7.36,-93.37,,
Charles Cleyn,Logic Pro X Tutorial - Everything You Need To Know For Beginners,https://www.youtube.com/watch?v=nZ8UtZNOrfY,Beginner Guides (Beginner Guides),1326003,2020-08-10,01:25:18,5118,104.65,30.41,-22.95,,
Mastering․com,Logic Pro X Tutorial (Everything You Need to Know),https://www.youtube.com/watch?v=7QQN_UFVpbk,Beginner Guides (Beginner Guides),1264597,2019-08-11,18:33,1113,102.48,32.19,-37.38,,
Mastering․com,Mixing in Logic Pro X (Everything You Need to Know),https://www.youtube.com/watch?v=vry9ZDGr56E,"Mixing & EQ Techniques (Mixing & EQ Techniques, Mastering & Dynamics)",1039083,2019-08-11,01:38:57,5937,64.2,-4.86,-84.2,,
In The Mix,Mastering Start To Finish: A Step by Step Guide to Loud and Clear Masters,https://www.youtube.com/watch?v=ZHXD-BlKyL8,"Beginner Guides (Beginner Guides, Mastering & Dynamics)",960791,2021-08-10,25:52,1552,75.32,0.35,-76.32,,
Akayo,How To Become a Master at EQ (in Only 15 Minutes),https://www.youtube.com/watch?v=RIuqjFP2cHg,Mixing & EQ Techniques (Mixing & EQ Techniques),861771,2025-08-09,15:45,945,51.57,-5.46,-75.49,,
Tomas George,How to Master a Track in Logic Pro X - Music Production Lesson | Mastering using Stock Plugins,https://www.youtube.com/watch?v=n_ylro6nD0k,Mastering & Dynamics (Mastering & Dynamics),818005,2017-08-11,17:57,1077,79.47,-30.22,-68.65,,
Mastering․com,How to Use an Equalizer (9-Hour Course),https://www.youtube.com/watch?v=sHR7R-TY7NE,Mastering & Dynamics (Mastering & Dynamics),691656,2024-08-09,09:36:24,34584,97.41,-44.1,-82.84,,
Tomas George,Logic Pro X Beginners Tutorial - An Introduction to Music Production in Logic Pro X,https://www.youtube.com/watch?v=8k5QwcyGXwc,Beginner Guides (Beginner Guides),678915,2017-08-11,01:12:31,4351,91.21,38.05,-9.94,,
Guildhall School of Music & Drama,Film Scoring Masterclass with Logic Pro X,https://www.youtube.com/watch?v=_1XkBHT_6Nk,Beginner Guides (Beginner Guides),663954,2019-08-11,01:55:37,6937,82.12,16.51,-43.07,,
MusicTechHelpGuy,Logic Pro X - #77 - Mastering in Logic,https://www.youtube.com/watch?v=mXR9UFh4scQ,Mastering & Dynamics (Mastering & Dynamics),645408,2015-08-12,55:36,3336,83.58,-47.27,-86.29,,
Sean Divine,Mastering Like A Pro with Stock Plugins (Logic Pro),https://www.youtube.com/watch?v=QXStJgXpZKc,"Beginner Guides (Beginner Guides, Mastering & Dynamics)",635843,2020-08-10,23:23,1403,80.73,1.35,-89.2,,
Goobster's Room,Every Major Audio Effect Explained in 8 Minutes!,https://www.youtube.com/watch?v=JGGnla8RKP4,Beginner Guides (Beginner Guides),620445,2025-08-09,08:22,502,104.2,80.67,-68.47,,
Nathan James Larsen,EQ Explained in 10 Minutes ... or it's free,https://www.youtube.com/watch?v=vRa_Zk90lDc,Mixing & EQ Techniques (Mixing & EQ Techniques),618352,2022-08-10,09:47,587,57.99,42.58,-64.59,,
LANDR,The Only Vocal Mixing Tutorial You Need for Logic Pro,https://www.youtube.com/watch?v=wK7D3-yQxqA,"Beginner Guides (Beginner Guides, Flex Pitch, Mixing & EQ Techniques)",602286,2021-08-10,12:32,752,72.63,55.63,6.22,,
MusicTechHelpGuy,Logic Pro X - Video Tutorial 23 - Flex Pitch and Vocal Tuning,https://www.youtube.com/watch?v=z8tqojYN6TQ,Flex Pitch (Flex Pitch),581510,2014-08-12,26:40,1600,48.4,29.72,-4.05,,
Tony Holiday,Logic Pro Tutorial | Ultimate Beginners Course (Everything You Need to Know),https://www.youtube.com/watch?v=HMP46jHTrI0,Beginner Guides (Beginner Guides),516506,2022-08-10,02:04:56,7496,101.38,33.98,-9.12,,
Akayo,How To Become a Master at Compression (in Only 10 Minutes),https://www.youtube.com/watch?v=booRjPgtIS4,Beginner Guides (Beginner Guides),508865,2025-08-09,10:50,650,95.9,53.4,-72.35,,
Skills Factory,Logic Pro X - Tutorial for Beginners in 13 MINUTES!  [ COMPLETE ],https://www.youtube.com/watch?v=xKWdaSf9y5U,Beginner Guides (Beginner Guides),505767,2021-08-10,13:50,830,97.08,72.59,-24.19,,
Andrew Barr,THE worlds shortest mixing course you'll ever need,https://www.youtube.com/watch?v=qUGxA2ep8wI,Mixing & EQ Techniques (Mixing & EQ Techniques),476494,2025-08-09,02:02,122,64.85,8.75,-61.74,,
Mastering․com,Logic Pro 11 Complete Tutorial (12-Hour Course),https://www.youtube.com/watch?v=Q442zUCg6tE,Mastering & Dynamics (Mastering & Dynamics),472138,2024-08-09,11:58:59,43139,93.66,-47.18,-66.79,,
Audio University,"How To Use A Compressor | Threshold, Ratio, Attack, Release & More",https://www.youtube.com/watch?v=lgCYjek5_JY,Mixing & EQ Techniques (Mixing & EQ Techniques),441985,2022-08-10,06:57,417,51.83,29.13,-83.07,,
