autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
AI Search,Master AI image generation - ComfyUI FULL TUTORIAL,https://www.youtube.com/watch?v=g74Cq9Ip2ik,"Beginner Guides (Beginner Guides, ControlNet Pose & Canny)",739046,2025-08-09,01:18:44,4724,-5.28,16.14,63.62,,
pixaroma,ComfyUI Tutorial Series: Ep01 - Introduction and Installation,https://www.youtube.com/watch?v=Zko_s2LO9Wo,"Beginner Guides (Beginner Guides, Stable Diffusion)",724304,2024-08-09,21:16,1276,-44.64,11.1,18.38,,
Sebastian Kamph,How to use ComfyUI for beginners.,https://www.youtube.com/watch?v=23VkGD-4uwk,Beginner Guides (Beginner Guides),663405,2025-08-09,39:11,2351,-61.7,7.04,66.51,,
pixaroma,ComfyUI Course - Learn ComfyUI From Scratch | Full 5 Hour Course (Ep01),https://www.youtube.com/watch?v=HkoRkNLWQzY,Beginner Guides (Beginner Guides),630516,2026-02-10,04:49:00,17340,-120.0,14.32,51.77,,
Mickmumpitz,Create HYPERREALISTIC Consistent AI Characters - FREE & LOCAL! [Full ComfyUI Masterclass 2025],https://www.youtube.com/watch?v=PhiPASFYBmk,Beginner Guides (Beginner Guides),622765,2025-10-13,24:23,1463,-44.44,70.88,66.9,,
Sebastian Kamph,How to install and use ComfyUI - Stable Diffusion.,https://www.youtube.com/watch?v=KTPLOqAMR0s,Stable Diffusion (Stable Diffusion),582979,2023-08-10,12:44,764,38.4,73.66,-3.46,,
Mickmumpitz,Create CONSISTENT CHARACTERS for your projects with FLUX! (ComfyUI Tutorial),https://www.youtube.com/watch?v=MbQv8zoNEfY,"Flux Model Workflows (Flux Model Workflows, ControlNet Pose & Canny)",521783,2025-08-09,12:52,772,27.27,15.78,47.35,,
Nate Gentile,¡Así generé mis fotos más ÉPICAS con Inteligencia Artificial! [Flux + ComfyUI + LoRA],https://www.youtube.com/watch?v=sf0ynoUK35o,"Stable Diffusion (Stable Diffusion, Flux Model Workflows)",413222,2025-08-09,30:31,1831,-8.42,60.89,14.71,,
Mickmumpitz,Create CONSISTENT CHARACTERS from an INPUT IMAGE with FLUX! (ComfyUI Tutorial +  Installation Guide),https://www.youtube.com/watch?v=Uls_jXy9RuU,"Beginner Guides (Beginner Guides, Flux Model Workflows)",386764,2025-08-09,23:23,1403,-14.49,24.2,29.61,,
Mickmumpitz,Make your own ANIME with this new mind-blowing AI TOOL! (ComfyUI Tutorial + FREE Workflows!),https://www.youtube.com/watch?v=mEn3CYU7s_A,Node Graph Architecture (Node Graph Architecture),375009,2024-08-09,11:56,716,0.3,-102.15,-13.53,,
MDMZ,How To Use WAN 2.2 in ComfyUI: The BEST FREE AI Video Model,https://www.youtube.com/watch?v=CfdyO2ikv88,"Stable Diffusion (Stable Diffusion, AnimateDiff & AI Video)",357461,2025-08-09,16:40,1000,9.2,74.86,-19.15,,
Scott Detweiler,ComfyUI - Getting Started : Episode 1 -  Better than AUTO1111 for Stable Diffusion AI Art generation,https://www.youtube.com/watch?v=AbB33AxrcZo,"Beginner Guides (Beginner Guides, Stable Diffusion)",345234,2023-08-10,19:01,1141,-41.58,-5.89,5.68,,
MDMZ,AnimateDiff Tutorial: Turn Videos to A.I Animation | IPAdapter x ComfyUI,https://www.youtube.com/watch?v=AugFKDGyVuw,"IPAdapter & Transfer (IPAdapter & Transfer, AnimateDiff & AI Video)",324962,2024-08-09,11:25,685,-25.44,-7.36,-45.24,,
MDMZ,Wan 2.2 Animate: FREE AI Character Swap & Lip-sync | ComfyUI Tutorial,https://www.youtube.com/watch?v=woCP1Q_Htwo,Beginner Guides (Beginner Guides),262084,2025-11-12,10:27,627,-61.5,39.78,90.28,,
Scott Detweiler,Midjourney!  My tips & tricks for getting great images,https://www.youtube.com/watch?v=iR_3Kd9dM_I,Beginner Guides (Beginner Guides),261312,2022-08-10,01:18:44,4724,-109.17,53.52,55.29,,
Sebastian Kamph,How to AI Animate. AnimateDiff in ComfyUI Tutorial.,https://www.youtube.com/watch?v=iucrcWQ4bnE,AnimateDiff & AI Video (AnimateDiff & AI Video),245161,2024-08-09,27:46,1666,94.93,-23.07,90.78,,
Jerry Davos AI,AnimateDiff ControlNet Animation v1.0 [ComfyUI],https://www.youtube.com/watch?v=HbfDjAMFi6w,"ControlNet Pose & Canny (ControlNet Pose & Canny, AnimateDiff & AI Video)",240962,2024-08-09,16:03,963,29.97,28.52,98.7,,
Sebastian Kamph,Use Any Face EASY in Stable Diffusion. Ipadapter Tutorial.,https://www.youtube.com/watch?v=_A7PraBHyg0,"Stable Diffusion (Stable Diffusion, IPAdapter & Transfer)",229240,2024-08-09,10:30,630,-14.1,46.2,-24.91,,
pixaroma,ComfyUI Tutorial Series: Ep04 - IMG2IMG and LoRA Basics,https://www.youtube.com/watch?v=xedwjtaPVzw,"Beginner Guides (Beginner Guides, Node Graph Architecture, Stable Diffusion)",216541,2024-08-09,17:25,1045,-48.08,-21.61,36.42,,
MDMZ,FLUX: How To Generate UNLIMITED AI Images For FREE | ComfyUI Tutorial,https://www.youtube.com/watch?v=DdSe5knj4k8,"Stable Diffusion (Stable Diffusion, Flux Model Workflows)",215058,2024-08-09,06:45,405,-14.29,49.93,9.94,,
pixaroma,ComfyUI Tutorial Series: Ep02 - Nodes and Workflow Basics,https://www.youtube.com/watch?v=JE5eykLuTXI,"Beginner Guides (Beginner Guides, Node Graph Architecture, AnimateDiff & AI Video)",213889,2024-08-09,23:28,1408,-35.14,-38.22,62.66,,
Matt Wolfe,Run SDXL Locally With ComfyUI (2024 Stable Diffusion Guide),https://www.youtube.com/watch?v=9k-yb83ZHfc,Stable Diffusion (Stable Diffusion),211046,2024-08-09,22:27,1347,25.6,94.92,2.67,,
